"player_id","team","player","position","pos_purity","minutes","passes_p90","passes_completed_p90","long_passes_p90","key_passes_p90","assists_p90","carries_p90","shots_p90","goals_p90","xg_p90","dribbles_p90","dribbles_completed_p90","pressures_p90","ball_recoveries_p90","interceptions_p90","clearances_p90","blocks_p90","duels_p90","tackles_p90","fouls_p90","dispossessed_p90","miscontrols_p90","ball_receipts_p90","pass_completion_pct","dribble_success_pct","avg_pass_length","mean_x","mean_y","sd_x","sd_y","f3_share","d3_share","position_group","purity6"
10030,"Sassuolo","Davide Biondini","Right Center Midfield",0.873,1153.3,39.957,27.782,6.555,0.546,0,31.528,0.546,0,0.046,0.858,0.468,22.554,4.995,0.78,1.951,1.951,3.044,1.327,1.561,0.702,1.249,40.971,0.695,0.545,19.27,64.78,56.15,24.98,20.33,0.272,0.157,"DM_CM",0.957
10031,"Sassuolo","Marcello Gazzola","Right Back",0.753,509.5,39.212,31.264,4.416,0,0.177,20.489,0.353,0,0.041,0.53,0.353,12.364,2.649,0.883,2.826,2.473,1.943,0.707,0.707,0.177,0.353,24.375,0.797,0.667,18.84,57.09,56.03,30.2,27.44,0.22,0.296,"FB",0.997
10032,"Palermo","Achraf Lazaar","Left Back",0.559,2397.8,50.934,34.194,10.134,0.638,0.038,40.612,1.088,0.038,0.022,3.003,1.652,17.153,8.896,1.126,2.44,3.303,3.753,2.402,1.501,1.802,1.576,39.523,0.671,0.55,20.41,60.22,11.77,26.84,10.13,0.255,0.235,"FB",0.989
10036,"Olympique de Marseille","Jacques-Alaixys Romao","Right Defensive Midfield",0.683,968.1,52.341,44.252,7.066,0,0.093,41.742,0.558,0.093,0.03,0.744,0.372,24.079,5.485,1.766,2.696,1.952,5.206,3.998,2.231,0.558,0.93,43.695,0.845,0.5,19.51,55.53,43.65,19.72,18.78,0.099,0.212,"DM_CM",0.985
10037,"Valencia","Danilo Barbosa da Silva","Right Center Midfield",0.359,1409.3,32.059,24.076,5.364,0.447,0,32.25,1.022,0,0.056,2.81,1.66,21.841,4.981,1.341,1.405,2.044,4.343,2.874,1.724,2.044,1.597,33.592,0.751,0.591,19.49,59.42,43.9,22.76,19.3,0.184,0.193,"DM_CM",0.963
10330,"Lille","Gadji Celi Carmen Junior Tallo","Center Forward",0.742,1169.2,24.71,19.398,1.693,0.539,0.231,30.252,2.771,0,0.199,2.694,1.77,15.241,4.696,0.154,0.77,1.232,7.159,0.462,3.002,3.387,4.08,64.891,0.785,0.657,14.45,80.79,40.08,21.91,23.42,0.535,0.053,"FW",0.862
10448,"Bordeaux","Adam Ounas","Right Wing",0.535,1271.8,33.049,23,5.025,1.415,0.071,38.922,3.114,0.354,0.256,4.671,2.618,18.47,6.652,0.778,0.354,2.052,4.317,2.335,1.698,4.246,3.68,47.131,0.696,0.561,18.62,72.22,52.75,23.94,24.22,0.392,0.101,"AM_W",0.991
10476,"Sevilla","Timothée Kolodziejczak","Left Center Back",0.96,2508.8,45.274,37.058,11.229,0.143,0,31.247,0.251,0,0.035,0.287,0.179,7.103,3.516,1.65,3.193,1.004,2.691,1.471,1.148,0.143,0.395,33.65,0.819,0.625,24.1,38.88,23.33,21.38,14.23,0.039,0.569,"CB",0.964
10499,"Norwich City","Ivo Daniel Ferreira Mendonca Pinto","Right Back",0.784,854.4,51.192,37.183,7.584,0.211,0,29.388,0,0,0,2.001,1.159,15.379,5.161,1.791,2.739,1.791,3.581,1.896,1.053,1.264,1.685,32.653,0.726,0.579,19.22,64.48,70.06,30.18,10.71,0.339,0.227,"FB",0.988
10503,"Sunderland","Billy Jones","Right Back",0.658,2125.5,35.865,24.898,5.166,0.423,0,18.801,0.55,0.042,0.077,0.72,0.508,22.103,3.938,0.805,2.498,2.837,4.87,3.43,1.651,0.805,0.677,21.341,0.694,0.706,18.98,56.98,55.97,29.05,23.88,0.234,0.312,"FB",0.962
10522,"Bastia","Mehdi Mostefa Sbaa","Center Defensive Midfield",0.417,1889.6,44.199,34.245,9.526,0.476,0,27.244,0.429,0,0.011,0.476,0.143,20.004,3.858,0.953,2.096,2,3.429,1.81,1.905,0.524,0.476,33.435,0.775,0.3,21.76,50.54,36.81,18.24,18.58,0.056,0.266,"DM_CM",0.995
10530,"Genoa","Jules Olivier Ntcham","Center Attacking Midfield",0.219,1057.1,45.551,36.866,8.259,1.533,0,45.125,1.958,0,0.078,1.873,1.362,22.818,5.96,0.426,0.511,1.022,3.235,1.788,2.554,2.384,1.788,53.043,0.809,0.727,20.59,69.53,36.19,21.81,21.71,0.338,0.097,"AM_W",0.533
10609,"Barcelona","Jérémy Mathieu","Left Center Back",0.779,1312.9,57.035,50.385,8.5,0.137,0.137,43.187,0.48,0,0.036,0.343,0.343,6.17,2.879,1.302,4.25,1.851,2.262,1.165,0.548,0.206,0.48,46.135,0.883,1,20.49,45.93,22.13,23.4,12.6,0.066,0.41,"CB",0.779
10612,"Rayo Vallecano","Yoel Rodríguez Oterino","Goalkeeper",0.999,838.8,37.982,24.356,24.892,0.107,0,19.528,0,0,0,0,0,0.107,6.223,0,0,0.107,0,0,0,0,0,16.201,0.641,0,44.54,10.21,40.67,6.57,8.59,0,0.996,"GK",0.999
10616,"Gazélec Ajaccio","Mohamed Larbi","Center Attacking Midfield",0.646,2260.2,44.717,33.647,7.287,1.672,0.119,37.39,1.672,0.319,0.163,2.31,1.274,24.21,6.53,0.478,0.518,1.394,3.464,1.672,0.916,1.593,2.787,49.814,0.752,0.552,19.08,71.41,35.46,22.89,22.38,0.375,0.095,"AM_W",0.845
106683,"Stade Malherbe Caen","Saïdi Ntibazonkiza","Left Midfield",0.493,545.1,23.278,14.363,3.632,1.651,0,29.221,2.972,0.165,0.226,3.797,1.816,20.637,6.604,0.825,0.33,3.302,4.292,2.641,1.651,2.311,4.788,38.136,0.617,0.478,18.49,71.45,26.14,26.33,23.2,0.402,0.138,"AM_W",1
10727,"Rayo Vallecano","Răzvan Dincă Raț","Left Back",1,767.2,67.104,47.278,16.776,1.525,0,37.071,0.939,0,0.023,0.939,0.587,8.212,3.402,2.464,3.167,1.525,2.933,0.821,1.29,0.352,0.235,46.222,0.705,0.625,22.35,63.22,10.44,26.93,9.94,0.293,0.211,"FB",1
10736,"Napoli","Vlad Iulian Chiricheș","Left Center Back",0.74,716.5,62.928,58.406,9.295,0,0,47.604,0.628,0.126,0.066,0.628,0.377,7.536,5.024,1.256,4.271,1.13,3.768,1.005,1.256,0.628,0.502,50.619,0.928,0.6,19.01,44.77,32.17,18.3,16.78,0.021,0.381,"CB",1
10746,"Nantes","Ermir Lenjani","Left Back",0.627,1501.7,38.655,24.632,10.668,1.438,0.06,25.171,1.259,0.06,0.083,0.959,0.479,9.169,4.315,0.539,1.858,1.678,2.517,1.019,1.378,1.079,0.899,29.606,0.637,0.5,23.2,62.75,14.55,28.82,15.31,0.306,0.238,"FB",0.627
10755,"Las Palmas","Jonathan Viera Ramos","Left Wing",0.3,3206.5,54.9,43.449,6.764,1.824,0.253,53.694,2.47,0.281,0.278,3.817,2.021,18.356,4.687,0.842,0.421,1.375,3.256,1.403,0.898,2.414,2.414,65.706,0.791,0.529,17.09,71.58,27.58,21.88,20.84,0.365,0.088,"AM_W",0.612
