"indeks","obelezje"
0,"passes_p90"
1,"long_passes_p90"
2,"key_passes_p90"
3,"assists_p90"
4,"carries_p90"
5,"shots_p90"
6,"goals_p90"
7,"xg_p90"
8,"dribbles_p90"
9,"pressures_p90"
10,"ball_recoveries_p90"
11,"interceptions_p90"
12,"clearances_p90"
13,"blocks_p90"
14,"duels_p90"
15,"tackles_p90"
16,"fouls_p90"
17,"dispossessed_p90"
18,"miscontrols_p90"
19,"ball_receipts_p90"
20,"pass_completion_pct"
21,"dribble_success_pct"
22,"avg_pass_length"
23,"mean_x"
24,"mean_y"
25,"sd_x"
26,"sd_y"
27,"f3_share"
28,"d3_share"
