"obelezje","znacaj"
"mean_x",0.6028
"sd_x",0.1218
"interceptions_p90",0.1012
"d3_share",0.0702
"carries_p90",0.0278
"shots_p90",0.0223
"mean_y",0.0175
"pressures_p90",0.0146
"passes_p90",0.0083
"f3_share",0.0065
"dispossessed_p90",0.0038
"assists_p90",0.0032
"long_passes_p90",0
"key_passes_p90",0
"goals_p90",0
"xg_p90",0
"dribbles_p90",0
"ball_recoveries_p90",0
"clearances_p90",0
"blocks_p90",0
"duels_p90",0
"tackles_p90",0
"fouls_p90",0
"miscontrols_p90",0
"ball_receipts_p90",0
"pass_completion_pct",0
"dribble_success_pct",0
"avg_pass_length",0
"sd_y",0
