"obelezje","sredina","medijana","sd","min","max","asimetrija"
"passes_p90",42.012,41.253,13.785,14.064,121.408,0.661
"passes_completed_p90",32.158,31.127,13.061,8.86,112.405,0.851
"long_passes_p90",8.489,7.916,5.214,0.184,29.643,1.186
"key_passes_p90",0.715,0.614,0.594,0,3.531,1.079
"assists_p90",0.074,0.039,0.097,0,0.735,1.87
"carries_p90",32.109,31.532,12.117,6.875,105.086,0.541
"shots_p90",1.131,0.804,0.992,0,6.251,1.099
"goals_p90",0.113,0.054,0.16,0,1.283,2.287
"xg_p90",0.11,0.058,0.133,0,0.876,1.959
"dribbles_p90",1.577,1.238,1.399,0,8.256,1.207
"dribbles_completed_p90",0.867,0.677,0.776,0,5.738,1.435
"pressures_p90",14.637,14.879,6.751,0,40.487,-0.209
"ball_recoveries_p90",4.629,4.595,1.404,0.48,10.858,0.318
"interceptions_p90",1.082,1.043,0.721,0,3.956,0.521
"clearances_p90",2.033,1.35,1.935,0,10.149,1.168
"blocks_p90",1.739,1.789,0.761,0,4.276,-0.326
"duels_p90",3.737,3.692,1.742,0,12.113,0.17
"tackles_p90",1.763,1.704,0.997,0,4.971,0.235
"fouls_p90",1.379,1.345,0.746,0,4.31,0.348
"dispossessed_p90",1.215,1.007,1.003,0,4.817,0.811
"miscontrols_p90",1.37,1.002,1.187,0,5.575,0.818
"ball_receipts_p90",40.405,41.571,15.459,4.686,116.191,-0.029
"pass_completion_pct",0.749,0.757,0.087,0.391,0.94,-0.661
"dribble_success_pct",0.561,0.567,0.227,0,1,-0.44
"avg_pass_length",21.545,19.665,8.299,11.67,63.4,2.7
"mean_x",57.58,60.235,18.502,7.18,86.47,-1.076
"mean_y",39.923,40.41,13.87,9.4,71.41,-0.103
"sd_x",22.45,23,5.286,4.89,33.46,-1.58
"sd_y",17.92,18.82,5.3,6.21,31.47,-0.253
"f3_share",0.246,0.234,0.174,0,0.653,0.203
"d3_share",0.29,0.218,0.251,0.014,1,1.543
