"klaster","position_group","silueta"
"C2","AM_W",0.2303
"C3","AM_W",0.2009
"C3","AM_W",0.1842
"C3","AM_W",0.0082
"C2","AM_W",0.0937
"C2","AM_W",0.057
"C3","AM_W",0.1632
"C3","AM_W",0.2854
"C3","AM_W",0.2427
"C3","AM_W",0.0224
"C3","AM_W",0.285
"C3","AM_W",0.2347
"C3","AM_W",0.2997
"C3","AM_W",0.3107
"C3","AM_W",0.2693
"C2","AM_W",0.0729
"C3","AM_W",0.2521
"C3","AM_W",0.2684
"C3","AM_W",0.355
"C3","AM_W",0.3036
"C3","AM_W",0.2598
"C3","AM_W",0.2909
"C3","AM_W",0.3147
"C3","AM_W",0.3488
"C3","AM_W",0.2654
"C3","AM_W",0.0655
"C3","AM_W",0.0536
"C3","AM_W",0.3123
"C3","AM_W",0.2544
"C3","AM_W",0.1643
"C3","AM_W",0.3275
"C3","AM_W",0.216
"C3","AM_W",0.2948
"C3","AM_W",0.2053
"C3","AM_W",0.369
"C2","AM_W",0.1014
"C3","AM_W",0.3619
"C3","AM_W",0.239
"C3","AM_W",0.1079
"C2","AM_W",0.0515
"C3","AM_W",0.1282
"C3","AM_W",0.141
"C3","AM_W",0.0387
"C3","AM_W",0.2702
"C3","AM_W",0.3748
"C3","AM_W",0.3263
"C3","AM_W",0.3028
"C3","AM_W",0.2653
"C2","AM_W",0.0796
"C3","AM_W",0.1892
"C3","AM_W",0.2354
"C3","AM_W",0.2679
"C3","AM_W",-0.0078
"C3","AM_W",0.2619
"C3","AM_W",0.2792
"C3","AM_W",0.2361
"C3","AM_W",0.346
"C2","AM_W",0.0477
"C3","AM_W",0.1914
"C3","AM_W",0.2831
"C3","AM_W",0.2538
"C3","AM_W",0.3196
"C3","AM_W",0.3111
"C3","AM_W",0.2791
"C3","AM_W",0.2936
"C3","AM_W",0.1835
"C3","AM_W",0.1187
"C3","AM_W",0.2368
"C3","AM_W",0.3696
"C3","AM_W",0.0955
"C3","AM_W",0.2397
"C3","AM_W",0.1051
"C3","AM_W",0.2925
"C2","AM_W",0.0424
"C3","AM_W",0.2103
"C3","AM_W",0.2901
"C3","AM_W",0.2167
"C3","AM_W",0.1722
"C2","AM_W",0.0739
"C3","AM_W",0.1433
"C3","AM_W",0.3185
"C3","AM_W",0.2103
"C3","AM_W",0.0972
"C3","AM_W",0.3123
"C3","AM_W",0.2877
"C3","AM_W",0.0602
"C3","AM_W",0.3165
"C3","AM_W",0.0246
"C3","AM_W",0.3218
"C3","AM_W",0.2534
"C3","AM_W",0.2854
"C3","AM_W",0.1533
"C3","AM_W",0.0619
"C3","AM_W",0.3707
"C3","AM_W",0.196
"C3","AM_W",0.1604
"C3","AM_W",0.0597
"C3","AM_W",0.2025
"C3","AM_W",0.1
"C3","AM_W",0.1681
"C2","AM_W",0.0881
"C3","AM_W",0.3371
"C3","AM_W",0.3456
"C2","AM_W",0.0809
"C3","AM_W",0.2299
"C3","AM_W",0.309
"C3","AM_W",0.1642
"C3","AM_W",0.0537
"C3","AM_W",0.2011
"C3","AM_W",0.0665
"C3","AM_W",0.3204
"C3","AM_W",0.2343
"C3","AM_W",0.1931
