"obelezje","F_vrednost"
"avg_pass_length",5283.7
"mean_x",4390.5
"d3_share",3673.7
"f3_share",2442.9
"miscontrols_p90",2124.1
"sd_x",1790.7
"shots_p90",1537.8
"dispossessed_p90",1333.8
"long_passes_p90",1308.7
"xg_p90",964.7
"ball_receipts_p90",849.7
"blocks_p90",800.8
"interceptions_p90",766.5
"clearances_p90",741.4
"dribbles_p90",729.4
"sd_y",696.3
"tackles_p90",586.8
"goals_p90",583
"pressures_p90",546.3
"duels_p90",541.1
"key_passes_p90",528.9
"pass_completion_pct",519
"fouls_p90",315.2
"passes_p90",281.6
"assists_p90",267.1
"carries_p90",225.5
"dribble_success_pct",112.2
"ball_recoveries_p90",5.6
"mean_y",0.2
