"prostor","k","W","SSE","silueta","najmanji","najveci","cistoca","ari"
"29 obelezja",2,72805.1,36402.6,0.385,731,971,0.3901,0.2441
"29 obelezja",3,53314.6,26657.3,0.476,125,966,0.4636,0.3465
"29 obelezja",4,46458.6,23229.3,0.3578,125,626,0.6146,0.4724
"29 obelezja",5,42106.1,21053,0.3366,125,623,0.7215,0.5692
"29 obelezja",6,39691,19845.5,0.3397,125,491,0.7985,0.5955
"29 obelezja",7,37703.3,18851.7,0.3439,125,355,0.8719,0.6598
"29 obelezja",8,36553.9,18277,0.2981,125,337,0.8014,0.5105
"29 obelezja",9,34604.3,17302.1,0.3283,84,301,0.8678,0.5908
"29 obelezja",10,33468.5,16734.3,0.3176,82,293,0.8743,0.5443
"11 komponenti",2,63292.9,31646.4,0.4141,730,972,0.3907,0.2447
"11 komponenti",3,43839.2,21919.6,0.5174,125,963,0.4636,0.345
"11 komponenti",4,37098.2,18549.1,0.4015,125,606,0.6058,0.4587
"11 komponenti",5,32888.8,16444.4,0.3786,125,603,0.7145,0.5585
"11 komponenti",6,30495.8,15247.9,0.3876,125,471,0.7955,0.5883
"11 komponenti",7,29502.1,14751,0.3851,43,476,0.7902,0.5702
"11 komponenti",8,27497.4,13748.7,0.3769,43,328,0.8361,0.595
"11 komponenti",9,25492.3,12746.1,0.3829,77,304,0.8643,0.586
"11 komponenti",10,24491.7,12245.8,0.3612,81,289,0.849,0.5168
