"obelezje","znacaj","znacaj_norm"
"mean_y",0.0228,0.1897
"sd_x",0.0189,0.1572
"passes_p90",0.011,0.0915
"dribbles_p90",0.0078,0.0649
"sd_y",0.0077,0.0641
"clearances_p90",0.0064,0.0532
"long_passes_p90",0.0063,0.0524
"key_passes_p90",0.0054,0.0449
"f3_share",0.0054,0.0449
"ball_receipts_p90",0.0052,0.0433
"ball_recoveries_p90",0.0048,0.0399
"miscontrols_p90",0.0036,0.03
"carries_p90",0.0035,0.0291
"mean_x",0.0031,0.0258
"tackles_p90",0.003,0.025
"pass_completion_pct",0.0024,0.02
"avg_pass_length",0.0017,0.0141
"dispossessed_p90",0.0007,0.0058
"pressures_p90",0.0005,0.0042
"assists_p90",0,0
"d3_share",-0.0011,0
"goals_p90",-0.0023,0
"fouls_p90",-0.0029,0
"dribble_success_pct",-0.003,0
"blocks_p90",-0.004,0
"interceptions_p90",-0.0047,0
"duels_p90",-0.0052,0
"xg_p90",-0.0063,0
"shots_p90",-0.0069,0
