"k","distance","kernel","f1","f1_sd","f1_se"
31,2,"triangular",0.9261,0.0195,0.0062
21,2,"triangular",0.9239,0.0221,0.007
9,2,"gaussian",0.9239,0.0278,0.0088
9,2,"rectangular",0.9232,0.0269,0.0085
9,2,"inv",0.9232,0.0287,0.0091
15,2,"inv",0.9232,0.0195,0.0062
31,2,"gaussian",0.9226,0.018,0.0057
31,2,"rectangular",0.9225,0.0162,0.0051
31,2,"inv",0.9225,0.0174,0.0055
5,2,"rectangular",0.9216,0.0321,0.0102
15,2,"triangular",0.9215,0.0243,0.0077
15,2,"gaussian",0.9211,0.0207,0.0065
5,2,"gaussian",0.921,0.0302,0.0096
5,2,"inv",0.921,0.0302,0.0096
9,2,"triangular",0.9208,0.0292,0.0092
15,2,"rectangular",0.9203,0.0196,0.0062
21,2,"gaussian",0.9203,0.0168,0.0053
21,2,"inv",0.9182,0.0163,0.0052
21,2,"rectangular",0.9174,0.016,0.0051
5,2,"triangular",0.9045,0.0299,0.0095
