"obelezje","znacaj"
"d3_share",0.1371
"mean_x",0.1315
"f3_share",0.1232
"sd_x",0.0973
"clearances_p90",0.0802
"sd_y",0.0547
"tackles_p90",0.0347
"shots_p90",0.0336
"pressures_p90",0.0328
"miscontrols_p90",0.0324
"interceptions_p90",0.0321
"carries_p90",0.0226
"dispossessed_p90",0.0211
"long_passes_p90",0.0184
"xg_p90",0.0178
"blocks_p90",0.0167
"passes_p90",0.0164
"duels_p90",0.0156
"mean_y",0.0146
"avg_pass_length",0.0134
"dribbles_p90",0.0133
"ball_recoveries_p90",0.0122
"key_passes_p90",0.009
"fouls_p90",0.0083
"pass_completion_pct",0.0044
"ball_receipts_p90",0.0036
"dribble_success_pct",0.0013
"goals_p90",0.0012
"assists_p90",0.0004
